#,Player Name,Pos.,GP,G,A,Pts,PIM,"""+/-""",GP,G,A,Pts,PIM,Birthplace,Age
215,Ben Wilmott 3,C,37,12,22,34,23,11,--,--,--,--,--,WA: Seattle,19
216,Andoni Fimis,D,68,7,26,33,18,17,5,0,0,0,4,ONT: Richmond Hill,19
217,Jesse Nurmi,L,30,14,17,31,10,-3,4,0,1,1,0,Finland: Valkeala,20
218,Sam O'Reilly 4,R,28,12,16,28,11,-11,--,--,--,--,--,ONT: Toronto,19
219,William Nicholl,C,32,15,11,26,14,10,5,0,3,3,2,ONT: Ottawa,19
220,Jared Woolley 4,D,37,10,15,25,44,12,--,--,--,--,--,ONT: Oshawa,19
221,Kaeden Hawkins,L,61,9,14,23,8,-3,5,0,0,0,2,MO: St. Louis,20
222,Caleb Mitchell,D,57,5,18,23,35,19,4,0,1,1,2,ONT: Omemee,17
223,Linus Funck,D,65,4,18,22,29,18,3,1,0,1,2,Sweden: Lulea,18
224,Rene Van Bommel,L,66,10,11,21,80,1,5,0,0,0,11,ONT: Strathroy,19
225,Brody Cook,R,57,6,12,18,27,0,4,0,0,0,0,MI: Birmingham,18
226,Maximus Crete,C,54,5,8,13,35,-3,--,--,--,--,--,ONT: Ottawa,17
227,Logan Hawery 5,C,34,3,7,10,17,1,--,--,--,--,--,ONT: Barrie,17
228,Maksim Sokolovskii,D,44,2,6,8,49,10,5,0,0,0,4,Russia: Petropavlovsk,17
229,Mikhail Zakharov,C,50,2,5,7,27,-5,3,0,0,0,0,Russia: Tomsk,18
230,Julian Brown 6,D,36,1,6,7,48,3,--,--,--,--,--,MA: Worcester,19
231,Jacob Xu 7,D,28,0,7,7,21,-2,5,0,0,0,0,ONT: Richmond Hill,17
232,Noah Read 8,C,10,1,1,2,8,-4,--,--,--,--,--,ONT: St. Catharines,18
233,Cooper McAslan,D,4,0,2,2,2,2,4,0,0,0,0,ONT: Bowmanville,16
234,Owen Miniotas,F,1,0,1,1,0,1,--,--,--,--,--,ONT: London,16
235,Alex Campeau,C,6,0,1,1,0,1,1,0,0,0,0,ONT: Cornwall,16
236,Peter Fagan,D,8,0,1,1,9,-1,--,--,--,--,--,ONT: Brampton,18
237,Sebastian Gatto,G,38,0,1,1,2,0,3,0,0,0,2,MI: Troy,19
238,Jake Ritson,F,2,0,0,0,0,0,--,--,--,--,--,ONT: Thunder Bay,16
239,Cody Wood,D,4,0,0,0,2,1,--,--,--,--,--,ONT: Uxbridge,17
240,Eloan Le Gallic,F,4,0,0,0,0,-1,--,--,--,--,--,PQ: Quebec City,16
241,Jacob Vandeven,D,8,0,0,0,0,-1,4,1,0,1,2,ONT: Komoka,17
242,Alexei Medvedev,G,36,0,0,0,2,0,2,0,0,0,0,Russia: St. Petersburg,17
243,Marco Mignosa,R,65,35,54,89,33,27,10,7,10,17,4,ONT: Toronto,20
244,Christopher Brown,C,68,19,40,59,22,18,3,0,0,0,0,ONT: Toronto,19
245,Quinn McKenzie,C,65,21,30,51,12,12,10,5,2,7,10,PA: Cranberry Township,17
246,Chase Reid,D,45,18,30,48,30,27,10,3,3,6,10,MI: Pontiac,17
247,Jordan Charron,R,66,25,22,47,68,9,10,3,1,4,24,ONT: Ayr,18
248,Travis Hayes,R,63,16,24,40,52,27,10,1,2,3,8,MI: Westland,17
249,Jeremy Martin 1,L,54,26,13,39,18,4,8,4,3,7,4,ONT: Ajax,18
250,Noah Laus,L,68,12,17,29,23,-1,10,0,1,1,6,ONT: Belle River,16
251,Lukas Fischer 2,D,39,5,21,26,50,12,10,1,5,6,14,MI: Pontiac,18
252,Jakub Winkelhofer,D,48,7,18,25,24,17,10,0,1,1,4,Czechia: Kadan,18
253,Brady Martin,C,24,8,16,24,37,6,10,3,7,10,10,ONT: Kitchener,18
254,Colin Fitzgerald 3,C,39,9,11,20,31,-6,10,0,0,0,2,ONT: Peterborough,17
255,Callum Croskery,D,43,3,15,18,25,17,10,1,4,5,4,ONT: Oakville,17
256,Brady Smith,F,52,9,8,17,12,12,10,0,2,2,4,ONT: Arthur,18
257,Carson Andrew,L,50,7,7,14,19,2,10,1,1,2,0,MO: St. Louis,17
258,Harris Pangretitsch,D,67,2,12,14,53,20,10,0,1,1,15,ONT: Toronto,17
259,Spencer Evans,D,63,2,11,13,69,20,10,0,0,0,4,ONT: Stittsville,19
260,Tobias Zvolensky,L,51,6,6,12,8,8,2,0,0,0,0,: Zvolen,17
261,Brodie McConnell-Barker,D,33,1,10,11,12,8,--,--,--,--,--,ONT: London,19
262,Justin Cloutier,R,24,6,4,10,38,-4,9,0,1,1,10,ONT: Ottawa,20
263,Ryan Kaczynski,L,47,2,8,10,2,-2,5,0,0,0,2,NY: Syosset,16
264,Hunter Solomon 4,D,26,1,5,6,15,-2,--,--,--,--,--,ONT: Guelph,17
265,Keegan Gillen,D,26,0,3,3,12,2,--,--,--,--,--,ONT: Amherstburg,18
266,Charlie Hilton 5,L,8,1,1,2,7,0,--,--,--,--,--,ONT: Oshawa,18
267,Carter George 6,G,24,1,1,2,6,0,10,0,0,0,0,ONT: Thunder Bay,19
268,Blake Arrowsmith,R,31,1,1,2,24,-4,3,0,1,1,2,OH: Solon,18
269,Tate Vader,C,2,1,0,1,0,0,--,--,--,--,--,ONT: Gowanstown,19
270,Brady Smith 7,R,11,1,0,1,4,-1,--,--,--,--,--,ONT: Whitby,17
271,Charlie Ashcroft,D,8,0,1,1,2,-2,--,--,--,--,--,ONT: Toronto,17
272,Jack O'Brien,D,16,0,1,1,12,-2,--,--,--,--,--,ME: Kennebunk,20
273,Karsten Barbeau,L,3,0,0,0,2,0,--,--,--,--,--,ONT: Ottawa,16
274,Noah Tegelaar 8,G,11,0,0,0,0,0,--,--,--,--,--,ONT: Georgetown,18
275,Landon Miller,G,33,0,0,0,0,0,--,--,--,--,--,ONT: Barrie,19
276,Adam Novotny,L,58,34,31,65,22,-2,6,0,1,1,0,Czechia: Hradec Kralove,17
277,Aiden Young,L,62,23,35,58,19,9,6,0,2,2,4,ONT: London,18
278,Matthew Soto,R,68,19,32,51,24,5,1,0,0,0,0,MN: St. Paul,20
279,Brennan Faulkner,L,68,29,20,49,41,23,6,1,2,3,0,ONT: London,19
280,Adam Levac,C,60,16,28,44,47,-5,6,2,2,4,0,ONT: Embrun,17
281,Leon Kolarik,L,63,19,22,41,6,-2,6,1,0,1,2,Austria: Vienna,17
282,Braydon McCallum,R,60,15,22,37,110,-15,6,2,2,4,13,ONT: Delhi,19
283,Kieron Walton 1,C,29,16,20,36,14,-8,6,3,3,6,0,ONT: Toronto,19
284,James Petrovski,D,45,5,30,35,35,-16,6,0,0,0,4,ONT: Mississauga,20
285,Yanis Lutz,L,62,13,21,34,50,8,6,1,1,2,0,Switzerland: Lachen,17
286,Matthew Perreault,D,65,5,25,30,20,5,6,0,0,0,2,ONT: Ottawa,16
287,Carson Cameron,D,61,8,14,22,55,-2,6,0,0,0,0,ONT: Bobcaygeon,18
288,Kaden McGregor,C,39,7,13,20,10,-5,--,--,--,--,--,ONT: Braeside,16
289,Colin Fitzgerald 2,C,24,6,7,13,33,-17,--,--,--,--,--,ONT: Peterborough,17
290,Grayden Strohack,D,57,1,11,12,83,11,6,0,1,1,9,ONT: Waterloo,19
