#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
189,Jacob Sagadin,R,61,11,12,23,10,13,9,1,0,1,4,Sweden: Ljungby,20
190,Brooks Cullen,C,62,6,17,23,32,0,9,1,3,4,4,MN: Moorhead,18
191,Nate Delladonna 2,R,34,8,10,18,30,-3,9,3,2,5,4,NY: Syracuse,19
192,Patrick Tolan 3,F,34,9,8,17,35,11,--,--,--,--,--,AK: Anchorage,19
193,Eero Butella 4,R,47,9,7,16,4,-2,--,--,--,--,--,IL: Chicago,19
194,Bryce Mattern,F,51,8,8,16,31,13,7,0,2,2,15,ND: West Fargo,17
195,Nicholas Kosiba,F,50,7,8,15,20,-9,8,0,0,0,0,MI: New Boston,18
196,Graham Greeder,D,58,5,9,14,38,-2,7,0,0,0,2,MN: Columbus,18
197,Zac Zimmerman,F,27,5,8,13,4,-9,9,0,2,2,0,ND: Fargo,17
198,Arseni Marchenko,D,59,2,9,11,42,21,9,1,1,2,2,Belarus: Minsk,18
199,Gavin Uhlenkamp 5,F,14,4,6,10,2,4,9,6,1,7,4,MN: Chanhassen,19
200,Jack Torr,C,43,2,8,10,2,9,1,0,0,0,0,PA: Philadelphia,17
201,Brady Zugec,F,37,2,6,8,53,7,4,0,0,0,0,NY: Geneva,18
202,Wyatt Sypniewski,F,50,5,1,6,31,2,9,0,0,0,0,IL: Chicago,18
203,Boden Sampair,F,12,3,1,4,2,0,--,--,--,--,--,MN: Mahtomedi,18
204,Caleb Kim,F,11,0,3,3,2,-1,--,--,--,--,--,NJ: Leonia,17
205,Samuel Hrenak,G,9,1,0,1,2,0,--,--,--,--,--,Slovakia: Povazska Bystrica,17
206,Zaide Penner,D,33,0,1,1,2,-4,4,0,0,0,0,ND: Fargo,17
207,Ajay White,G,42,0,1,1,0,0,9,0,0,0,0,PA: Bryn Mawr,19
208,Wyatt Kuznik,F,1,0,0,0,0,0,--,--,--,--,--,MN: Maple Grove,16
209,Andrew Smulkstys,D,2,0,0,0,0,0,--,--,--,--,--,IL: Glen Ellyn,18
210,Alan Lendak 6,G,11,0,0,0,0,0,--,--,--,--,--,Slovakia: Nitra,19
211,Kevin Perreault,D,18,0,0,0,0,1,--,--,--,--,--,IL: Chicago,18
212,Drew Stewart,F,56,30,31,61,33,9,16,9,7,16,12,MN: Minnetonka,19
213,Melvin Novotny,L,48,22,35,57,26,23,16,5,10,15,10,Sweden: Taby,18
214,Viktor Norringer,L,48,24,25,49,28,6,16,3,9,12,6,Sweden: Lerkil,19
215,Niles Benson,F,61,19,20,39,43,3,16,5,3,8,6,FL: Safety Harbor,18
216,Carter Sanderson,F,54,17,17,34,88,15,14,4,3,7,12,SD: Pierre,17
217,Charles Blanchard,F,59,17,17,34,31,11,16,2,4,6,2,CT: West Hartford,20
218,Jack Christ,F,61,16,18,34,68,-12,16,5,5,10,2,MN: Chaska,19
219,Rudolfs Berzkalns,C,48,13,12,25,39,7,16,4,6,10,4,Latvia: Cesis,17
220,Adam Belusko,D,55,6,15,21,16,11,16,2,9,11,10,Slovakia: Kosice,19
221,Danny Klaers,D,43,1,20,21,30,14,--,--,--,--,--,MN: Minnetrista,18
222,Ty Bergeron,F,55,6,14,20,16,-2,16,2,2,4,6,MI: Flat Rock,16
223,Anthony Thomas-Maroon,F,59,2,17,19,78,-7,16,2,3,5,42,MO: St. Louis,16
224,Tynan Lawrence,C,13,10,7,17,6,5,--,--,--,--,--,NB: Fredericton,17
